producer,processor prod,processor model,cores,core base speed (GHz),core boost speed (GHz),ram type,ram cap (GB),ssd (GB),hdd (GB),gpu prod,gpu size (MB),gpu base speed (GHz),gpu boost speed (GHz),screen type,screen size (inch),screen horizontal resolution,screen vertical resolution,sRGB (%),weight (kg),os,battery capacity (WHr),price(USD)
asus,intel,i5,4,2.3,4,ddr4,8,1000,256,nvidia,4096,1493,1620,led ips,15.6,1920,1080,60,2.31,windows home 10.00,48,899.5
asus,intel,i7,6,2.6,4.5,ddr4,8,0,512,nvidia,4096,1395,1560,led ips,15.6,1920,1080,60,2.4,windows home 10.00,48,900
asus,amd,ryzen7,8,2.9,4.2,ddr4,8,0,512,nvidia,6144,1455,1590,led ips,15.6,1920,1080,60,2.3,windows home 10.00,90,900
asus,intel,i7,6,2.6,5,ddr4,16,1000,256,nvidia,4096,1530,1725,led ips,15.6,1920,1080,90,2,windows home 10.00,42,900
asus,intel,i7,2,2.7,3.5,ddr4,8,0,256,intel,1700,300,1050,led tn,15.6,1920,1080,60,2.3,windows home 10.00,38,905
asus,amd,ryzen5,6,2.3,4,ddr4,8,0,2048,nvidia,2048,1531,1594,led ips,14,1920,1080,100,1.15,windows pro 10.00,50,910
asus,intel,i7,2,2.7,3.5,ddr4,8,0,512,nvidia,2048,1072,1176,led tn,15.6,1920,1080,0,2.3,windows home 10.00,38,918
asus,intel,i7,4,1.8,4.6,ddr3,8,0,512,intel,1700,300,1150,led ips,13.3,1920,1080,90,1.12,windows home 10.00,50,927
asus,intel,i5,4,2.4,4.2,ddr4,8,0,512,intel,8192,400,1300,led ips,13.3,1920,1080,100,1.3,windows home 10.00,67,949
asus,amd,ryzen7,8,2.9,4.2,ddr4,16,1000,512,nvidia,4096,1395,1560,led ips,17.3,1920,1080,60,2.58,windows home 10.00,90,970.5
asus,amd,ryzen5,6,3,4,ddr4,16,0,1024,nvidia,4096,1380,1560,led ips,15.6,1920,1080,60,2.3,windows home 10.00,90,979.5
asus,amd,ryzen7,8,2.9,4.2,ddr4,8,0,512,nvidia,4096,1395,1560,led ips,14,1920,1080,100,1.6,windows home 10.00,76,980.5
asus,intel,i5,4,1.6,3.9,ddr4,8,0,256,nvidia,2048,1227,1468,led ips,13.3,1920,1080,90,1.12,windows home 10.00,50,989.5
