producer, processor prod, processor model, cores, core base speed (GHz), ram type, ram cap (GB), ssd (GB), hdd (GB), gpu prod, gpu size (MB), screen type, screen size (inch), weight (kg), os, price(USD)
dell,intel, i5, 4, 2.6,ddr4, 16,0,3072,intel, 1700,led ips, 15.6,1.84,windows home 10.00,3561.5
dell,intel, i5, 4, 2.6,ddr4, 128,0,3072,intel, 1700,led ips, 17.3,3.13,windows home 10.00,4930.0
dell,intel, i5, 4, 2.6,ddr4, 16,0,3072,intel, 1700,led ips, 17.3,3.13,windows home 10.00,3275.5
dell,intel, i5, 4, 1.6,ddr4, 32,1000,0,nvidia, 2048,led tn, 15.6,1.86,windows home 10.00,1578.5
dell,intel, i5, 4, 1.6,ddr4, 32,0,512,nvidia, 2048,led tn, 15.6,1.86,windows pro 10.00,1838.0
dell,intel, i5, 4, 2.4,ddr4, 16,0,2048,intel, 8192,led ips, 13.4,1.27,linux ubuntu 0.00,1699.5
dell,intel, i3, 2, 2.1,ddr4, 8,500,256,intel, 1700,led tn, 14.0,1.65,windows pro 10.00,889.5
dell,intel, i5, 4, 2.5,ddr4, 32,0,512,intel, 1700,led ips, 15.6,2.05,windows pro 10.00,1560.5
dell,intel, i5, 4, 2.5,ddr4, 64,0,2048,intel, 1700,led ips, 15.6,2.05,windows pro 10.00,2310.0
dell,intel, i5, 4, 1.1,ddr4, 32,1000,1024,intel, 8192,led tn, 14.0,1.79,windows home 10.00,1958.5
dell,intel, i5, 4, 1.1,ddr4, 8,1000,512,intel, 8192,led tn, 14.0,1.79,windows home 10.00,859.5
dell,intel, i5, 4, 2.3,ddr4, 16,1000,512,nvidia, 4096,led ips, 15.6,2.85,windows home 10.00,994.5
dell,intel, i3, 2, 2.7,ddr4, 32,0,768,intel, 1700,led ips, 14.0,3.5,windows pro 10.00,4808.0
dell,intel, i3, 2, 2.7,ddr4, 32,0,768,intel, 1700,led ips, 14.0,3.5,windows pro 10.00,4801.0
dell,intel, i5, 4, 2.6,ddr4, 64,0,3072,intel, 1700,led ips, 17.3,2.13,windows home 10.00,4336.0
dell,intel, i5, 4, 2.6,ddr4, 64,0,1536,intel, 1700,led ips, 17.3,2.13,windows pro 10.00,3415.0
dell,intel, i5, 4, 1.6,ddr4, 4,1000,0,intel, 1700,led ips, 14.0,1.48,windows pro 10.00,1155.5
dell,intel, i3, 2, 2.1,ddr4, 16,0,256,intel, 1700,led tn, 14.0,1.52,chrome os  0.00,1222.0
dell,intel, i3, 2, 2.1,ddr4, 8,0,256,intel, 1700,led tn, 14.0,1.52,chrome os  0.00,1010.0
dell,intel, i5, 4, 2.5,ddr4, 16,0,1024,intel, 1700,led ips, 14.0,1.54,windows pro 10.00,1903.0
dell,intel, i3, 2, 2.1,ddr4, 8,0,1024,intel, 1700,led tn, 15.6,1.82,windows pro 10.00,1554.5
dell,intel, i3, 2, 2.1,ddr4, 32,0,1024,intel, 1700,led tn, 15.6,1.82,windows pro 10.00,1870.5
dell,intel, i3, 2, 2.1,ddr4, 8,0,256,intel, 1700,led ips, 13.3,1.42,chrome os  0.00,1162.5
dell,intel, i3, 2, 2.1,ddr4, 8,0,512,intel, 1700,led ips, 13.3,1.42,chrome os  0.00,1282.5
dell,intel, i7, 4, 1.3,ddr4, 16,0,512,intel, 8192,led ips, 15.6,2.0,windows home 10.00,979.5
dell,intel, i7, 4, 1.9,ddr4, 16,0,256,intel, 1700,led ips, 12.3,0.85,windows pro 10.00,1099.5
dell,intel, i7, 4, 1.9,ddr4, 16,0,512,intel, 1700,led ips, 12.3,0.85,windows pro 10.00,1224.0
dell,amd, ryzen 5, 6, 2.3,ddr4, 16,0,1024,amd, 2048,led ips, 14.0,1.54,windows pro 10.00,899.5
dell,intel, i7, 4, 1.8,ddr4, 16,0,256,intel, 1700,led ips, 13.3,1.27,windows home 10.00,2460.5
dell,intel, i5, 4, 2.4,ddr4, 16,1000,1024,nvidia, 6144,led ips, 15.6,2.34,windows home 10.00,1100.0
dell,intel, i5, 4, 2.4,ddr4, 8,1000,128,nvidia, 4096,led ips, 15.6,2.85,windows home 10.00,989.5
dell,intel, i5, 4, 1.6,ddr4, 16,0,512,intel, 1700,led ips, 14.0,1.4,windows pro 10.00,1011.0
dell,intel, i5, 4, 1.6,ddr4, 32,0,512,intel, 1700,led ips, 14.0,1.4,windows pro 10.00,1223.0
dell,intel, i7, 4, 1.8,ddr4, 32,0,1024,intel, 1700,led ips, 15.6,2.19,windows home 10.00,1139.0
dell,intel, i7, 4, 1.3,ddr4, 16,0,512,intel, 8192,led ips, 13.4,1.32,windows pro 10.00,1950.5
